epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.821,3.5871,6.13317,4.28248,0,0,0,0,3.46337,5.35333,4.15848,0.0937,0.0007,0.0007
2,16.7657,3.65314,6.06272,4.24344,0,0,0,0,3.46322,5.35188,4.15682,0.0864703,0.0014703,0.0014703
3,22.4628,3.60432,6.04428,4.24808,0,0,0,0,3.46334,5.35215,4.15573,0.0792089,0.00220892,0.00220892
4,28.246,3.63932,6.04536,4.28174,0,0,0,0,3.4631,5.34901,4.15407,0.0719159,0.00291586,0.00291586
5,33.9561,3.65559,5.8735,4.23249,0,0,0,0,3.46368,5.34802,4.15238,0.0645911,0.00359112,0.00359112
6,39.7202,3.67151,5.91492,4.26517,0,0,0,0,3.46337,5.34643,4.15052,0.0572347,0.0042347,0.0042347
7,45.4931,3.66247,5.81638,4.23925,0,0,0,0,3.46431,5.34536,4.14898,0.0498466,0.0048466,0.0048466
8,51.2692,3.66491,5.76214,4.24647,0,0,0,0,3.46401,5.34445,4.14671,0.0424268,0.00542682,0.00542682
9,56.9596,3.64536,5.74559,4.23708,0,0,0,0,3.46444,5.34233,4.14411,0.0349754,0.00597536,0.00597536
10,62.6533,3.70684,5.74408,4.26384,0,0,0,0,3.46487,5.34033,4.14244,0.0274922,0.00649222,0.00649222
11,68.6598,3.51767,5.77681,4.22198,0,0,0,0,3.46468,5.33766,4.13955,0.0199774,0.0069774,0.0069774
12,74.3516,3.66037,5.73308,4.21407,0,0,0,0,3.46457,5.3368,4.13789,0.0124309,0.0074309,0.0074309
13,80.0737,3.63544,5.72345,4.18839,0,0,0,0,3.46434,5.33579,4.13728,0.007624,0.007624,0.007624
14,85.8878,3.67972,5.72298,4.19324,0.0004,0.00207,0.00024,4e-05,3.43165,5.75236,4.25029,0.007426,0.007426,0.007426
15,95.36,3.58778,5.68323,4.1772,0.00065,0.01414,0.00033,3e-05,3.57298,inf,17.045,0.007228,0.007228,0.007228
16,105.762,3.5172,5.67641,4.16451,0.00065,0.01414,0.00033,3e-05,nan,nan,nan,0.00703,0.00703,0.00703
17,116.158,3.622,5.69558,4.15476,0.00031,6e-05,0.00016,2e-05,3.75185,inf,248.031,0.006832,0.006832,0.006832
18,126.369,3.60941,5.66679,4.14481,8e-05,0.00293,4e-05,1e-05,nan,nan,nan,0.006634,0.006634,0.006634
19,136.032,3.61177,5.66612,4.12903,8e-05,0.00293,4e-05,1e-05,nan,nan,nan,0.006436,0.006436,0.006436
20,146.283,3.63164,5.65202,4.11172,9e-05,0.00309,5e-05,2e-05,nan,nan,nan,0.006238,0.006238,0.006238
21,156.674,3.62981,5.62156,4.10796,0.00025,0.00569,0.00016,3e-05,3.61276,inf,429.481,0.00604,0.00604,0.00604
22,166.759,3.55416,5.60072,4.08919,0.00022,0.00586,0.00016,4e-05,3.66208,inf,326.533,0.005842,0.005842,0.005842
23,176.753,3.59602,5.55434,4.07229,1e-05,0.00039,1e-05,0,3.61835,inf,211.903,0.005644,0.005644,0.005644
24,186.694,3.59968,5.55184,4.06627,0.02819,0.00061,1e-05,0,3.72363,inf,147.339,0.005446,0.005446,0.005446
25,196.216,3.55078,5.48331,4.04526,0.00043,0.00521,0.00026,7e-05,3.782,inf,62.9995,0.005248,0.005248,0.005248
26,205.687,3.50277,5.42152,4.03344,0.0001,0.00509,6e-05,1e-05,3.6928,inf,36.0279,0.00505,0.00505,0.00505
27,214.86,3.62844,5.43954,3.98487,0.00117,0.01715,0.00098,0.00029,3.69019,inf,27.7536,0.004852,0.004852,0.004852
28,223.607,3.53049,5.34006,3.95016,0.00017,0.02144,0.00054,0.00011,3.70842,inf,21.6366,0.004654,0.004654,0.004654
29,232.104,3.54017,5.29782,3.9341,0.00033,0.02153,0.00022,6e-05,3.61855,inf,16.0448,0.004456,0.004456,0.004456
30,240.572,3.57435,5.32092,3.9003,0.00147,0.00557,0.00088,0.0001,3.47825,inf,8.29823,0.004258,0.004258,0.004258
31,248.06,3.51139,5.20316,3.87576,0.08508,0.00821,0.00225,0.00046,3.44787,inf,5.89145,0.00406,0.00406,0.00406
32,254.885,3.43713,5.18589,3.83019,0.15666,0.00748,0.00203,0.00058,3.46552,inf,4.94371,0.003862,0.003862,0.003862
33,261.224,3.41537,5.2753,3.8449,0.09903,0.00664,0.00033,0.00012,3.37775,24.0127,4.21465,0.003664,0.003664,0.003664
34,267.21,3.51804,5.2573,3.82149,0.50999,0.00591,0.00208,0.00059,3.36357,11.111,3.90958,0.003466,0.003466,0.003466
35,273.194,3.42103,5.14992,3.76285,0.00266,0.02018,0.003,0.00126,3.32113,8.27391,3.81258,0.003268,0.003268,0.003268
